id,label
012701,C
012702,B
012703,A
012801,D
012802,B
012901,B
012902,B
013001,A
013002,C
013003,D
013101,B
013102,D
013103,D
013201,C
013202,C
013301,C
013302,D
013401,D
013402,C
013501,A
013502,C
013503,B
013601,A
013701,B
013801,C
013802,D
013803,C
013901,D
014001,B
014101,B
014201,D
014301,C
014302,B
014303,A
014304,B
014401,D
014501,B
014601,B
014602,B
014701,C
014801,B
014802,B
014803,C
014901,D
015001,C
015101,D
015102,D
015103,C
015201,C
015202,D
015301,C
015302,D
015303,C
015401,C
015501,C
015502,D
015601,A
015701,C
015702,D
015801,D
015901,C
015902,B
015903,B
016001,B
016002,D
016101,C
016102,A
016201,C
016301,D
016302,D
016303,A
016401,D
016402,B
016403,D
016501,D
016502,D
016601,C
016602,C
016701,D
016702,B
016801,B
016901,A
016902,D
017001,C
017101,A
017102,B
017201,B
017202,D
017203,D
017301,C
017401,D
017501,D
017502,C
017503,A
017601,D
017602,C
017603,D
017701,A
017702,C
017703,B
017801,D
017901,A
017902,C
018001,D
018002,B
018101,D
018201,C
018301,C
018302,C
018401,D
018402,C
018501,D
018601,C
018701,C
018801,D
018802,B
018901,D
018902,B
018903,C
019001,B
019101,D
019201,B
019301,B
019401,D
019402,C
019501,C
019502,D
019601,A
019602,B
019701,D
019702,C
019703,C
019801,A
019802,D
019901,D
020001,C
020002,B
020003,B
020101,B
020102,D
020201,A
020202,A
020301,C
020401,B
020501,B
020502,D
020503,C
020601,B
020602,A
020701,D
020702,C
020703,C
020801,B
020802,C
020803,C
020901,A
020902,C
021001,B
021002,D
021003,D
021004,B
021101,C
021102,B
021103,A
021201,B
021202,B
021203,D
021301,B
021302,D
021401,C
021402,A
021501,C
021502,A
021601,A
021602,B
021603,B
021701,A
021702,B
021703,C
021801,B
021802,A
021901,C
021902,A
021903,C
022001,C
022002,A
022003,C
022101,C
022102,B
022103,B
022201,B
022202,D
022203,A
022301,A
022302,B
022401,C
022402,D
022403,D
022501,A
022502,C
022601,C
022602,D
022603,C
022701,C
022702,D
022703,D
022801,B
022802,B
022901,B
022902,D
023001,D
023002,B
023003,D
023101,C
023102,B
023103,C
023201,D
023202,D
023301,B
023302,A
023303,C
023401,C
023402,A
023403,A
023501,B
023502,C
023503,B
023601,C
023602,A
023603,C
023701,D
023702,B
023801,D
023802,D
023803,C
023901,D
023902,D
023903,B
024001,D
024002,B
024003,B
024101,A
024102,C
024103,A
024201,A
024202,C
024301,C
024302,D
024401,C
024402,B
024403,C
024501,C
024502,D
024601,D
024602,D
024701,C
024702,B
024703,B
024801,D
024802,C
024803,A
024901,D
024902,A
025001,C
025002,C
025003,D
025101,C
025102,C
025103,D
025201,D
025202,B
025301,D
025302,A
025303,A
025304,B
025401,B
025402,A
025403,D
025501,D
025502,B
025503,A
025601,C
025602,D
025701,D
025702,B
025703,C
025801,A
025802,A
025901,C
025902,D
026001,B
026002,B
026003,D
026101,B
026102,D
026201,A
026202,D
026203,B
026301,C
026302,A
026401,B
026402,C
026403,C
026501,A
026502,B
026601,D
026602,C
026603,B
026701,C
026702,C
026703,C
026801,C
026802,C
026803,D
026901,A
026902,A
026903,B
027001,B
027002,D
027003,C
027101,D
027102,D
027103,A
027201,C
027202,B
027203,D
027301,D
027302,C
027303,C
027401,A
027402,D
027501,A
027502,C
027503,C
027601,B
027602,B
027603,D
027701,C
027702,D
027801,B
027802,B
027901,D
027902,C
027903,D
028001,D
028002,B
028003,D
028004,C
028101,A
028102,D
028103,D
028201,B
028202,B
028301,B
028302,A
028303,C
028401,B
028402,A
028403,B
028501,D
028502,C
028503,B
028601,D
028602,A
028603,C
028701,C
028702,B
028703,A
028801,C
028802,A
028901,C
028902,A
028903,B
029001,C
029002,D
029101,D
029102,D
029201,C
029202,A
029301,B
029302,D
029303,A
029401,A
029402,C
029403,A
029501,C
029502,B
029601,C
029602,C
029603,C
029701,A
029702,A
029801,C
029802,D
029803,A
029901,B
029902,A
030001,D
030002,B
030101,B
030102,D
030103,D
030201,D
030202,C
030203,B
030301,C
030302,A
030303,A
030401,D
030402,B
030403,D
030501,C
030502,B
030503,D
030601,D
030602,C
030701,D
030702,D
030801,B
030802,A
030901,D
030902,B
030903,C
031001,A
031002,C
031003,D
031101,D
031102,D
031103,B
031201,A
031202,B
031203,B
031204,B
031301,A
031302,C
031401,D
031402,C
031403,B
031501,D
031502,A
031503,A
031601,C
031602,D
031701,B
031702,C
031801,A
031802,B
031901,D
031902,C
032001,B
032002,C
032101,B
032102,C
032103,C
032201,D
032202,C
032203,A
032301,B
032302,A
032303,D
032401,C
032402,A
032403,A
032501,A
032502,B
032503,A
032601,C
032602,C
032603,D
032701,A
032702,D
032801,B
032802,B
032901,C
032902,C
033001,C
033002,C
033003,B
033101,C
033102,B
033201,D
033202,A
033203,C
033301,A
033302,D
033303,C
033401,B
033402,B
033403,B
033501,C
033502,B
033503,C
033601,D
033602,B
033603,A
033701,D
033702,D
033801,B
033802,C
033901,C
033902,D
033903,D
034001,C
034002,D
034003,D
034101,B
034102,B
034103,C
034201,D
034202,C
034203,C
034301,A
034302,D
034303,D
034401,C
034402,C
034403,D
034501,B
034502,D
034503,D
034601,B
034602,D
034603,D
034701,C
034702,C
034703,D
034801,B
034802,D
034803,D
034804,A
034901,D
034902,D
034903,C
035001,C
035002,C
035003,D
035101,C
035102,D
035201,D
035202,D
035301,A
035302,B
035401,C
035402,C
035403,B
035501,B
035502,B
035503,B
035601,A
035602,B
035701,B
035702,C
035703,B
035801,C
035802,A
035901,A
035902,A
036001,A
036002,A
036101,B
036102,B
036201,C
036202,C
036203,A
036301,B
036302,B
036401,C
036402,B
036501,A
036502,D
036601,B
036602,C
036603,C
036604,C
036701,A
036702,C
036801,C
036802,C
036803,B
036901,B
036902,A
037001,C
037002,B
037101,B
037102,C
037201,A
037202,D
037301,B
037302,C
037401,B
037402,A
037501,D
037502,C
037503,A
037601,C
037602,B
037603,C
037604,D
037701,A
037702,D
037703,C
037801,B
037802,D
037901,C
037902,A
037903,C
038001,C
038002,A
038101,C
038102,B
038103,B
038201,B
038202,D
038301,C
038302,B
038303,A
038401,C
038402,B
038403,D
038501,C
038502,D
038503,B
038601,B
038602,A
038603,D
038701,A
038702,C
038801,A
038802,C
038901,A
038902,D
038903,D
039001,A
039002,A
039101,A
039102,C
039103,B
039201,C
039202,D
039301,C
039302,D
039303,B
039401,D
039402,A
039403,B
039501,A
039502,A
039601,D
039602,C
039701,A
039702,C
039801,C
039802,D
039803,B
039901,C
039902,D
040001,D
040002,D
040003,D
040101,B
040102,B
040103,A
040201,B
040202,B
040203,C
040301,A
040302,B
040303,C
040401,B
040402,A
040403,B
040501,D
040502,C
040601,D
040602,C
040603,D
040701,D
040702,A
040801,B
040802,C
040901,A
040902,C
040903,A
041001,D
041002,D
041003,B
041101,C
041102,C
041201,A
041202,C
041301,B
041302,D
041401,B
041402,D
041403,C
041501,D
041502,B
041503,C
041601,D
041602,D
041603,A
041701,A
041702,D
041801,B
041802,C
041803,A
041901,D
041902,B
042001,D
042002,A
042003,A
042101,B
042102,C
042201,D
042202,B
042301,D
042302,A
042401,B
042402,B
042501,C
042502,D
042601,B
042602,D
042701,D
042702,C
042801,D
042802,C
042803,B
042901,C
042902,A
043001,D
043002,B
043101,B
043102,D
043201,A
043202,D
043301,D
043302,B
043303,D
043401,C
043402,C
043403,B
043501,B
043502,D
043601,B
043602,D
043603,C
043701,D
043702,A
043801,D
043802,B
043901,B
043902,A
044001,B
044002,D
044101,B
044102,D
044201,B
044202,D
044301,D
044302,A
044401,C
044402,C
044501,B
044502,C
044503,D
044601,A
044602,A
044603,B
044701,D
044702,C
044703,D
044801,D
044802,A
044803,B
044901,A
044902,C
044903,B
045001,D
045002,C
045003,B
045101,B
045102,A
045103,B
045201,B
045202,C
045301,B
045302,B
045401,C
045402,C
045403,B
045501,B
045502,A
045601,D
045602,C
045701,A
045702,D
045801,C
045802,D
045901,B
045902,C
045903,B
046001,D
046002,C
046003,B
046101,B
046102,A
046201,A
046202,C
046203,C
046301,A
046302,A
046303,C
046401,B
046402,B
046501,B
046502,D
046601,A
046602,B
046701,A
046702,C
046801,D
046802,C
046803,A
046901,A
046902,B
046903,A
047001,D
047002,C
047101,C
047102,C
047103,A
047201,C
047202,D
047203,B
047301,C
047302,D
047303,C
047304,C
047401,D
047402,D
047403,D
047501,B
047502,D
047503,D
047601,D
047602,B
047603,C
047701,B
047702,C
047801,D
047802,C
047901,C
047902,C
047903,C
048001,B
048002,C
048003,B
048004,B
048101,A
048102,D
048103,C
048104,A
048201,D
048202,C
048301,D
048302,C
048303,D
048401,A
048402,A
048403,C
048501,D
048502,A
048601,A
048602,C
048603,D
048701,D
048702,C
048801,A
048802,C
048901,B
048902,D
049001,D
049002,C
049101,C
049102,B
049103,D
049201,C
049202,A
049301,B
049302,A
049401,B
049402,C
049501,A
049502,D
049601,D
049602,A
049701,A
049702,A
049801,D
049802,A
049803,D
049901,A
049902,C
050001,B
050002,D
050003,A
050101,B
050102,A
050103,D
050201,B
050202,B
050203,B
050301,B
050302,D
050303,A
050304,D
050401,C
050402,B
050403,A
050501,C
050502,C
050503,B
050601,B
050602,B
050603,C
050701,B
050702,D
050801,C
050802,C
050803,C
050901,A
050902,D
051001,D
051002,C
051003,A
051101,D
051102,B
051103,D
051201,C
051202,A
051301,B
051302,C
051401,D
051402,B
051501,C
051502,B
051601,C
051602,A
051701,C
051702,A
051703,C
051801,A
051802,B
051803,B
051901,B
051902,C
051903,A
052001,D
052002,C
052003,C
052101,B
052102,C
052103,C
052201,D
052202,B
052203,D
052301,B
052302,B
052303,A
052401,D
052402,B
052403,C
052501,C
052502,B
052503,C
052601,A
052602,D
052701,B
052702,A
052801,B
052802,B
052803,D
052901,D
052902,C
052903,D
053001,D
053002,C
053003,B
053101,C
053102,C
053103,C
053201,A
053202,D
053203,B
053301,A
053302,A
053303,B
053401,B
053402,B
053403,B
053501,D
053502,A
053601,C
053602,A
053603,A
053701,C
053702,C
053703,A
053801,B
053802,B
053901,C
053902,B
053903,D
054001,B
054002,B
054003,D
054101,D
054102,C
054103,B
054201,C
054202,A
054203,C
054301,D
054302,A
054303,A
054401,A
054402,D
054403,C
054501,D
054502,C
054503,B
054504,D
054601,C
054602,C
054701,B
054702,D
054703,C
054801,C
054802,C
054803,A
054804,C
054805,B
054901,B
054902,B
054903,A
055001,B
055002,B
055101,D
055102,B
055103,C
055201,C
055202,C
055203,B
055301,D
055302,B
055303,D
055401,A
055402,A
055403,B
055501,B
055502,B
055503,B
055601,B
055602,A
055603,D
055701,D
055702,D
055703,C
055801,B
055802,A
055803,A
055901,D
055902,A
056001,A
056002,D
056003,D
056101,D
056102,C
056201,C
056202,C
056301,A
056302,D
056401,C
056402,C
056501,D
056502,A
056503,C
056601,B
056602,C
056701,D
056702,B
056801,D
056802,A
056901,B
056902,A
056903,A
057001,D
057002,C
057003,C
057101,C
057102,D
057103,C
057201,A
057202,C
057301,D
057302,D
057303,B
057401,D
057402,B
057501,D
057502,A
057503,C
057601,B
057602,C
057701,D
057702,C
057703,D
057801,C
057802,D
057803,C
057901,B
057902,B
057903,D
058001,C
058002,B
058003,A
058101,D
058102,D
058103,C
058201,B
058202,C
058203,A
058301,A
058302,D
058303,C
058401,A
058402,A
058501,B
058502,D
058503,C
058601,D
058602,B
058603,D
058701,C
058702,B
058703,D
058801,D
058802,B
058803,D
058901,C
058902,C
058903,A
059001,D
059002,B
059003,D
059101,D
059102,C
059103,D
059201,B
059202,B
059203,D
059301,D
059302,D
059303,D
059401,B
059402,C
059403,B
059501,D
059502,B
059503,C
059601,C
059602,D
059603,D
059701,D
059702,B
059703,A
059801,D
059802,B
059901,B
059902,C
059903,A
060001,C
060002,A
060101,B
060102,C
060201,C
060202,D
060203,D
060301,C
060302,D
060303,C
060401,C
060402,B
060403,B
060501,C
060502,A
060503,C
060601,A
060602,C
060603,B
060701,A
060702,D
060703,A
060801,C
060802,A
060803,D
060901,C
060902,D
060903,A
061001,D
061002,B
061003,B
061101,D
061102,B
061201,D
061202,B
061301,C
061302,D
061303,D
061401,C
061402,D
061403,D
061501,C
061502,A
061503,C
061601,C
061602,D
061603,D
061701,A
061702,B
061703,C
061801,A
061802,B
061803,B
061901,B
061902,B
062001,D
062002,B
062101,C
062102,B
062201,B
062202,D
062203,B
062301,D
062302,C
062401,A
062402,C
062501,A
062502,A
062601,D
062602,A
062603,D
062701,B
062702,B
062703,C
062801,D
062802,D
062803,D
062901,D
062902,D
062903,B
063001,A
063002,B
063003,A
063101,C
063102,A
063103,A
063201,A
063202,C
063301,D
063302,A
063303,C
063401,C
063402,B
063403,C
063501,D
063502,D
063601,D
063602,B
063603,B
063701,C
063702,C
063703,D
063801,D
063802,B
063803,C
063901,C
063902,C
063903,B
064001,B
064002,C
064003,B
064101,B
064102,D
064103,A
064201,B
064202,A
064203,D
064301,C
064302,D
064303,A
064401,B
064402,C
064403,A
064501,A
064502,A
064503,B
064601,D
064602,B
064603,D
064701,D
064702,C
064703,C
064801,A
064802,A
064803,C
064901,D
064902,D
064903,D
065001,C
065002,D
065003,D
065101,B
065102,C
065103,A
065201,C
065202,C
065203,A
065301,C
065302,C
065303,C
065401,A
065402,B
065403,B
065501,B
065502,A
065503,C
065601,A
065602,C
065603,B
065701,C
065702,B
065703,D
065801,D
065802,C
065803,A
065901,D
065902,A
065903,D
066001,A
066002,D
066003,B
066101,C
066102,B
066103,A
066201,B
066202,D
066203,A
066301,D
066302,D
066401,A
066402,C
066403,B
066501,D
066502,B
066503,D
066601,D
066602,C
066603,D
066701,B
066702,C
066703,C
066801,B
066802,D
066803,B
066901,B
066902,D
066903,C
067001,B
067002,A
067101,C
067102,D
067103,C
067201,A
067202,B
067301,C
067302,C
067401,B
067402,D
067501,B
067502,C
067503,B
067601,A
067602,D
067701,C
067702,C
067801,D
067802,C
067803,C
067901,A
067902,A
067903,B
068001,D
068002,D
068003,A
068101,A
068102,D
068103,C
068201,B
068202,A
068203,B
068301,D
068302,B
068303,C
068401,D
068402,B
068501,C
068502,A
068601,B
068602,C
068603,A
068701,B
068702,C
068703,D
068801,C
068802,B
068803,B
068901,D
068902,A
068903,B
069001,A
069002,D
069101,C
069102,C
069103,B
069201,A
069202,B
069203,A
069301,B
069302,B
069303,D
069401,B
069402,A
069403,D
069501,C
069502,A
069503,A
069601,A
069602,A
069603,B
069701,A
069702,C
069703,A
069801,B
069802,A
069901,A
069902,B
069903,B
070001,A
070002,B
070003,C
070101,D
070102,B
070103,C
070201,C
070202,A
070203,B
070301,A
070302,A
070303,B
070401,C
070402,C
070501,C
070502,C
070601,D
070602,A
070603,B
070701,A
070702,C
070801,B
070802,C
070803,C
070901,A
070902,D
071001,C
071002,A
071101,C
071102,C
071201,D
071202,B
071203,C
071301,A
071302,B
071303,D
071401,C
071402,A
071403,A
071501,D
071502,D
071503,D
071601,B
071602,C
071701,A
071702,B
071703,A
071801,D
071802,D
071803,C
071901,B
071902,C
071903,C
072001,D
072002,D
072003,A
072101,C
072102,A
072103,D
072201,C
072202,D
072203,A
072301,B
072302,B
072303,B
072401,D
072402,C
072403,B
072501,A
072502,B
072503,C
072601,B
072602,C
072603,A
072701,D
072702,A
072703,D
072801,A
072802,D
072803,C
072901,B
072902,D
072903,D
072904,A
073001,A
073002,D
073003,A
073101,C
073102,C
073201,C
073202,C
073203,C
073301,A
073302,C
073303,A
073401,B
073402,C
073403,C
073501,D
073502,D
073503,B
073601,C
073602,D
073701,C
073702,A
073801,D
073802,A
073901,D
073902,D
074001,A
074002,B
074003,A
074101,D
074102,D
074103,A
074201,D
074202,D
074203,C
074301,C
074302,A
074303,D
074401,A
074402,B
074403,A
074501,D
074502,B
074503,C
074601,D
074602,D
074603,B
074701,C
074702,B
074703,C
074801,B
074802,B
074803,D
074901,A
074902,C
074903,A
075001,D
075002,C
075003,D
075101,C
075102,A
075103,A
075201,B
075202,A
075203,A
075301,C
075302,D
075303,D
075401,D
075402,D
075403,B
075501,D
075502,D
075503,D
075601,A
075602,D
075603,C
075701,C
075702,C
075703,B
075801,A
075802,D
075803,C
075901,A
075902,D
075903,D
076001,B
076002,A
076003,B
076101,D
076102,C
076201,B
076202,C
076203,C
076301,B
076302,B
076303,A
076401,A
076402,B
076403,C
076501,D
076502,B
076503,D
076601,B
076602,A
076603,A
076604,A
076701,A
076702,C
076703,A
076704,B
076801,A
076802,B
076803,B
076901,D
076902,A
076903,D
077001,C
077002,B
077003,A
077101,C
077102,C
077103,D
077201,A
077202,B
077203,D
077204,B
077301,D
077302,D
077303,C
077401,B
077402,A
077403,D
077501,C
077502,C
077503,A
077601,D
077602,C
077603,B
077701,D
077702,B
077703,C
077801,C
077802,D
077803,D
077901,C
077902,B
077903,A
078001,B
078002,C
078003,B
078101,B
078102,C
078103,D
078201,B
078202,D
078203,D
078301,A
078302,B
078401,A
078402,B
078403,B
078501,D
078502,B
078503,B
078601,C
078602,A
078603,B
078701,B
078702,C
078703,D
078801,A
078802,D
078803,C
078901,C
078902,D
078903,B
079001,C
079002,D
079003,C
079101,C
079102,C
079103,B
079201,C
079202,A
079203,D
079301,C
079302,C
079303,C
079401,A
079402,C
079403,B
079501,A
079502,A
079601,A
079602,D
079603,C
079701,A
079702,B
079703,D
079801,D
079802,A
079803,C
079901,B
079902,C
079903,B
080001,D
080002,B
080101,D
080102,C
080103,A
080201,B
080202,B
080203,A
080301,C
080302,B
080303,D
080401,D
080402,D
080501,C
080502,D
080601,D
080602,A
080603,B
080701,A
080702,B
080703,B
080801,A
080802,B
080803,D
080901,D
080902,D
080903,B
081001,C
081002,A
081003,B
081101,D
081102,B
081103,C
081201,D
081202,C
081203,D
081301,C
081302,B
081303,D
081401,C
081402,B
081403,C
081501,C
081502,B
081503,B
081601,C
081602,D
081603,C
081701,B
081702,B
081703,C
081801,A
081802,B
081901,D
081902,A
082001,A
082002,C
082003,A
082101,B
082102,A
082103,C
082201,B
082202,A
082301,C
082302,A
082303,B
082401,A
082402,B
082501,B
082502,B
082601,D
082602,C
082603,D
082701,D
082702,C
082801,D
082802,B
082901,C
082902,C
083001,C
083002,B
083101,C
083102,A
083201,C
083202,D
083301,B
083302,D
083303,A
083401,D
083402,B
083501,B
083502,B
083601,B
083602,B
083701,D
083702,C
083801,A
083802,D
083901,D
083902,A
084001,C
084002,B
084003,C
084101,C
084102,C
084201,C
084202,B
084203,B
084301,B
084302,B
084303,A
084401,C
084402,C
084501,C
084502,B
084601,D
084602,D
084701,D
084702,D
084703,B
084801,D
084802,A
084901,A
084902,C
084903,D
085001,B
085002,C
085101,C
085102,D
085201,D
085202,C
085301,C
085302,A
085401,A
085402,D
085501,C
085502,C
085503,C
085601,A
085602,D
085603,B
085604,A
085701,B
085702,D
085703,B
085801,D
085802,B
085803,A
085901,D
085902,D
086001,C
086002,C
086101,C
086102,D
086201,B
086202,D
086301,B
086302,C
086401,C
086402,B
086501,D
086502,C
086601,B
086602,A
086701,C
086702,A
086801,C
086802,C
086901,C
086902,A
087001,A
087002,D
087101,D
087102,C
087201,D
087202,D
087301,C
087302,D
087303,B
087401,B
087402,B
087403,C
087501,D
087502,A
087503,C
087601,B
087602,D
087603,D
087701,C
087702,A
087801,C
087802,B
087803,A
087901,D
087902,B
088001,B
088002,C
088003,D
088101,B
088102,B
088201,C
088202,A
088301,C
088302,C
088303,D
088401,B
088402,B
088501,C
088502,A
088503,C
088601,C
088602,B
088603,B
088701,A
088702,C
088703,A
088801,C
088802,B
088901,B
088902,D
089001,D
089002,C
089003,D
089101,C
089102,B
089103,A
089201,C
089202,B
089301,B
089302,B
089401,B
089402,B
089403,C
089501,C
089502,B
089601,C
089602,C
089701,C
089702,C
089703,D
089801,C
089802,C
089803,A
089901,D
089902,D
089903,D
090001,C
090002,D
090003,B
090101,A
090102,C
090103,C
090201,A
090202,A
090203,D
090301,C
090302,D
090303,A
090401,B
090402,D
090403,B
090501,A
090502,C
090601,B
090602,D
090603,C
090701,D
090702,C
090801,A
090802,A
090901,A
090902,B
090903,A
091001,A
091002,D
091101,C
091102,D
091103,A
091201,B
091202,D
091301,B
091302,B
091401,A
091402,A
091501,D
091502,A
091601,B
091602,D
091701,C
091702,A
091801,D
091802,C
091901,D
091902,A
092001,C
092002,B
092101,D
092102,C
092201,B
092202,D
092301,A
092302,C
092401,C
092402,B
092501,C
092502,A
092601,B
092602,A
092701,D
092702,D
092801,B
092802,B
092901,B
092902,B
093001,C
093002,C
093101,D
093102,B
093201,C
093202,B
093301,B
093302,D
093401,A
093402,D
093501,B
093502,C
093601,C
093602,C
093701,C
093702,C
093801,B
093802,D
093901,D
093902,B
094001,C
094002,D
094101,C
094102,D
094201,A
094202,D
094301,D
094302,C
094401,D
094402,D
094501,C
094502,C
094601,A
094602,C
094701,D
094702,B
094801,D
094802,C
094901,B
094902,C
095001,B
095002,D
095101,A
095102,D
095201,C
095202,D
095301,A
095302,B
095401,A
095402,A
095501,C
095502,C
095601,A
095602,C
095701,C
095702,B
095703,A
095801,C
095802,C
095901,B
095902,D
096001,C
096002,B
096101,C
096102,D
096201,A
096202,A
096301,A
096302,C
096303,B
096401,C
096402,B
096501,B
096502,C
096601,A
096602,C
096603,C
096701,B
096702,C
096801,C
096802,B
096901,D
096902,C
096903,D
097001,D
097002,A
097101,B
097102,A
097201,C
097202,B
097301,C
097302,A
097401,C
097402,C
097403,D
097501,A
097502,A
097601,B
097602,A
097701,B
097702,D
097801,B
097802,C
097901,C
097902,D
098001,B
098002,C
098101,D
098102,D
098103,A
098201,D
098202,C
098203,C
098301,A
098302,B
098303,D
098401,C
098402,B
098501,B
098502,A
098601,D
098602,C
098701,D
098702,A
098801,D
098802,D
098901,D
098902,D
099001,B
099002,D
099003,D
099004,C
099101,D
099102,A
099103,C
099201,D
099202,A
099203,A
099204,D
099301,B
099302,C
099303,D
099401,D
099402,C
099501,B
099502,C
099503,D
099601,D
099602,B
099603,A
099701,D
099702,A
099801,B
099802,A
099901,C
099902,C
099903,A
100001,A
100002,B
100003,C
